sample_number,site_id,date,sample_type,method,ng_m_l,lake,site_type,depth_category,ng_g_resin,congener,value
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,la,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,dm_lr,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,ly,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,nod,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,lf,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,wr,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,atx,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,hatx,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,cyl,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,rr,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,yr,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,lr,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,la,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,dm_lr,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,ly,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,nod,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,lf,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,wr,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,atx,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,hatx,0
136,BKS_BL_BU_DD,2025-07-08,regular,grab,NA,brooks,buoy,bottom,NA,cyl,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,rr,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,yr,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,lr,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,la,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,dm_lr,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,ly,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,nod,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,lf,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,wr,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,atx,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,hatx,0
137,BKS_UB_SH_08,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,cyl,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,rr,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,yr,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,lr,0.286504811
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,la,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,dm_lr,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,ly,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,nod,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,lf,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,wr,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,atx,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,hatx,0
138,BKS_UB_SH_09,2025-07-09,regular,grab,NA,upper brooks,shore,NA,NA,cyl,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,rr,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,yr,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,lr,0.376068924
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,la,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,dm_lr,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,ly,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,nod,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,lf,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,wr,0
