sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,total
165,BKS_BL_SH_02,2025-07-21,brooks,shore,NA,grab,anatoxin,0
165,BKS_BL_SH_02,2025-07-21,brooks,shore,NA,grab,cylindrospermopsin,0
165,BKS_BL_SH_02,2025-07-21,brooks,shore,NA,grab,microcystin,0
165,BKS_BL_SH_02,2025-07-21,brooks,shore,NA,grab,nodularin,0
166,BKS_BL_SH_03,2025-07-21,brooks,shore,NA,grab,anatoxin,0
166,BKS_BL_SH_03,2025-07-21,brooks,shore,NA,grab,cylindrospermopsin,0
166,BKS_BL_SH_03,2025-07-21,brooks,shore,NA,grab,microcystin,0
166,BKS_BL_SH_03,2025-07-21,brooks,shore,NA,grab,nodularin,0
167,BKS_BL_SH_04,2025-07-21,brooks,shore,NA,grab,anatoxin,0
167,BKS_BL_SH_04,2025-07-21,brooks,shore,NA,grab,cylindrospermopsin,0
167,BKS_BL_SH_04,2025-07-21,brooks,shore,NA,grab,microcystin,0
167,BKS_BL_SH_04,2025-07-21,brooks,shore,NA,grab,nodularin,0
168,BKS_BL_SH_05,2025-07-23,brooks,shore,NA,grab,anatoxin,0
168,BKS_BL_SH_05,2025-07-23,brooks,shore,NA,grab,cylindrospermopsin,0
168,BKS_BL_SH_05,2025-07-23,brooks,shore,NA,grab,microcystin,0
168,BKS_BL_SH_05,2025-07-23,brooks,shore,NA,grab,nodularin,0
169,BKS_BL_SH_06,2025-07-23,brooks,shore,NA,grab,anatoxin,0
169,BKS_BL_SH_06,2025-07-23,brooks,shore,NA,grab,cylindrospermopsin,0
169,BKS_BL_SH_06,2025-07-23,brooks,shore,NA,grab,microcystin,0
169,BKS_BL_SH_06,2025-07-23,brooks,shore,NA,grab,nodularin,0
170,BKS_BL_SH_07,2025-07-23,brooks,shore,NA,grab,anatoxin,0
170,BKS_BL_SH_07,2025-07-23,brooks,shore,NA,grab,cylindrospermopsin,0
170,BKS_BL_SH_07,2025-07-23,brooks,shore,NA,grab,microcystin,0
170,BKS_BL_SH_07,2025-07-23,brooks,shore,NA,grab,nodularin,0
173,BKS_BL_BU_SS,2025-07-23,brooks,buoy,surface,grab,anatoxin,0
173,BKS_BL_BU_SS,2025-07-23,brooks,buoy,surface,grab,cylindrospermopsin,0
173,BKS_BL_BU_SS,2025-07-23,brooks,buoy,surface,grab,microcystin,0
173,BKS_BL_BU_SS,2025-07-23,brooks,buoy,surface,grab,nodularin,0
174,BKS_BL_BU_DD,2025-07-23,brooks,buoy,bottom,grab,anatoxin,0
174,BKS_BL_BU_DD,2025-07-23,brooks,buoy,bottom,grab,cylindrospermopsin,0
174,BKS_BL_BU_DD,2025-07-23,brooks,buoy,bottom,grab,microcystin,0
174,BKS_BL_BU_DD,2025-07-23,brooks,buoy,bottom,grab,nodularin,0
175,BKS_UB_SH_08,2025-07-22,upper brooks,shore,NA,grab,anatoxin,0
175,BKS_UB_SH_08,2025-07-22,upper brooks,shore,NA,grab,cylindrospermopsin,0
175,BKS_UB_SH_08,2025-07-22,upper brooks,shore,NA,grab,microcystin,6.011720845
175,BKS_UB_SH_08,2025-07-22,upper brooks,shore,NA,grab,nodularin,0
176,BKS_UB_SH_09,2025-07-22,upper brooks,shore,NA,grab,anatoxin,0
176,BKS_UB_SH_09,2025-07-22,upper brooks,shore,NA,grab,cylindrospermopsin,0
176,BKS_UB_SH_09,2025-07-22,upper brooks,shore,NA,grab,microcystin,0
176,BKS_UB_SH_09,2025-07-22,upper brooks,shore,NA,grab,nodularin,0
177,BKS_UB_BU_SS,2025-07-22,upper brooks,buoy,surface,grab,anatoxin,0
