sample_number,site_id,date,method,sample_type,status,lake,site_type,depth_category,has_grab_result,has_spatt_result,status_final
137,BKS_UB_SH_08,2025-07-09,grab,regular,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
138,BKS_UB_SH_09,2025-07-09,grab,regular,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
139,BKS_UB_BU_SS,2025-07-09,grab,regular,shipped,upper brooks,buoy,surface,TRUE,FALSE,analyzed
140,BKS_UB_BU_DD,2025-07-09,grab,regular,shipped,upper brooks,buoy,bottom,TRUE,FALSE,analyzed
141,BKS_RN_SH_10,2025-07-09,grab,regular,shipped,rainbow,shore,NA,TRUE,FALSE,analyzed
142,BKS_RN_BU_SS,2025-07-09,grab,regular,shipped,rainbow,buoy,surface,TRUE,FALSE,analyzed
143,BKS_RN_BU_DD,2025-07-09,grab,regular,shipped,rainbow,buoy,bottom,TRUE,FALSE,analyzed
144,BKS_LJ_BU_SS,2025-07-09,grab,regular,shipped,lower jade,buoy,surface,TRUE,FALSE,analyzed
145,BKS_LJ_BU_DD,2025-07-09,grab,regular,shipped,lower jade,buoy,bottom,TRUE,FALSE,analyzed
146,BKS_RN_BU_SS,2025-07-09,grab,duplicate,shipped,rainbow,buoy,surface,TRUE,FALSE,analyzed
148,BYS_BR_SH_01,2025-07-10,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
149,BYS_PC_SH_02,2025-07-10,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
150,BYS_FR_SH_03,2025-07-10,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
151,BYS_CR_SH_04,2025-07-10,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
152,BKS_LJ_BU_SS,2025-07-22,spatt,duplicate,collected,lower jade,buoy,surface,FALSE,FALSE,collected
153,BKS_BL_SH_03,2025-07-21,spatt,duplicate,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
